City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches(last 3 hrs),Snow Inches(last 3 hrs)
189,Honiara,SB,2020-02-22 06:38:19,-9.43,159.95,84.2,79,75,3.36,broken clouds,0.0,0.0
190,Shirokiy,RU,2020-02-22 06:42:15,49.76,129.52,10.89,85,83,9.82,broken clouds,0.0,0.0
191,Tezu,IN,2020-02-22 06:42:15,27.92,96.17,80.17,28,100,4.16,overcast clouds,0.0,0.0
192,Orsha,BY,2020-02-22 06:42:16,54.52,30.41,32.0,93,90,8.95,mist,0.0,0.0
193,Peterhead,GB,2020-02-22 06:42:16,57.51,-1.8,37.0,79,20,16.11,few clouds,0.0,0.0
194,Guerrero Negro,MX,2020-02-22 06:42:16,27.98,-114.06,65.91,54,100,8.39,overcast clouds,0.0,0.0
195,Weinan,CN,2020-02-22 06:42:16,34.5,109.51,55.4,20,0,8.95,clear sky,0.0,0.0
196,San Ramon,US,2020-02-22 06:42:02,37.78,-121.98,62.01,44,1,3.36,clear sky,0.0,0.0
197,Save,BJ,2020-02-22 06:42:17,8.04,2.49,72.75,94,0,2.46,clear sky,0.0,0.0
198,Isangel,VU,2020-02-22 06:42:17,-19.55,169.27,86.0,70,75,13.56,broken clouds,0.0,0.0
199,Bowen,AU,2020-02-22 06:42:17,-20.02,148.23,88.0,66,98,10.29,light rain,0.62,0.0
200,Oksfjord,NO,2020-02-22 06:42:18,70.24,22.35,35.6,69,40,9.17,scattered clouds,0.0,0.0
201,Saldanha,ZA,2020-02-22 06:42:18,-33.01,17.94,68.0,77,65,1.12,broken clouds,0.0,0.0
202,Paamiut,GL,2020-02-22 06:38:03,61.99,-49.67,11.53,79,99,4.63,light snow,0.0,0.31
203,Lamar,US,2020-02-22 06:42:18,33.67,-95.58,37.99,80,1,4.7,clear sky,0.0,0.0
204,Sur,OM,2020-02-22 06:42:19,22.57,59.53,77.92,54,19,4.25,few clouds,0.0,0.0
205,Bonthe,SL,2020-02-22 06:42:19,7.53,-12.51,78.13,92,95,4.94,overcast clouds,0.0,0.0
206,Cape Town,ZA,2020-02-22 06:40:02,-33.93,18.42,70.0,77,75,9.17,broken clouds,0.0,0.0
207,Nome,US,2020-02-22 06:42:20,64.5,-165.41,-16.6,75,1,4.7,clear sky,0.0,0.0
208,Sao Filipe,CV,2020-02-22 06:42:20,14.9,-24.5,67.42,83,73,20.11,broken clouds,0.0,0.0
209,Aviles,ES,2020-02-22 06:42:20,43.55,-5.92,48.99,93,75,5.82,fog,0.0,0.0
210,Rehoboth,NA,2020-02-22 06:42:20,-23.32,17.08,67.48,82,100,4.47,light rain,0.44,0.0
211,Kingisepp,RU,2020-02-22 06:42:20,59.37,28.61,37.29,81,99,15.64,overcast clouds,0.0,0.0
212,Waingapu,ID,2020-02-22 06:42:21,-9.66,120.26,82.98,75,99,10.4,overcast clouds,0.0,0.0
213,Clyde River,CA,2020-02-22 06:42:21,70.47,-68.59,-25.6,82,1,4.7,clear sky,0.0,0.0
214,Aykhal,RU,2020-02-22 06:42:21,66.0,111.5,3.2,84,100,2.24,overcast clouds,0.0,0.0
215,Thunder Bay,CA,2020-02-22 06:42:21,48.4,-89.32,26.01,73,5,6.93,clear sky,0.0,0.0
216,Todos Santos,MX,2020-02-22 06:42:21,23.45,-110.22,69.01,85,100,3.0,overcast clouds,0.0,0.0
217,Cherdyn,RU,2020-02-22 06:42:22,60.4,56.48,23.74,94,96,7.49,overcast clouds,0.0,0.0
218,Yellowknife,CA,2020-02-22 06:40:26,62.46,-114.35,0.0,84,5,10.29,clear sky,0.0,0.0
219,Upata,VE,2020-02-22 06:42:22,8.01,-62.4,69.1,84,84,3.4,broken clouds,0.0,0.0
220,Kananga,CD,2020-02-22 06:42:22,-5.9,22.42,74.23,90,68,1.25,light rain,0.19,0.0
221,Kurchum,KZ,2020-02-22 06:42:22,48.57,83.65,28.44,76,100,9.17,overcast clouds,0.0,0.0
222,Castro,BR,2020-02-22 06:42:23,-24.79,-50.01,62.82,99,95,4.52,light rain,0.19,0.0
223,Manbij,SY,2020-02-22 06:42:23,36.53,37.95,44.6,100,90,3.36,light rain,0.0,0.0
224,Richards Bay,ZA,2020-02-22 06:42:23,-28.78,32.04,78.91,81,0,17.11,clear sky,0.0,0.0
225,Saint George,US,2020-02-22 06:42:24,37.1,-113.58,53.6,27,1,10.29,clear sky,0.0,0.0
226,Yumen,CN,2020-02-22 06:42:24,40.28,97.2,46.72,17,95,17.38,overcast clouds,0.0,0.0
227,Mount Gambier,AU,2020-02-22 06:42:24,-37.83,140.77,69.8,56,4,18.34,clear sky,0.0,0.0
228,Buraydah,SA,2020-02-22 06:41:49,26.33,43.98,60.8,55,0,9.17,clear sky,0.0,0.0
229,Lorengau,PG,2020-02-22 06:42:24,-2.02,147.27,84.11,75,37,11.27,light rain,0.19,0.0
230,Mehamn,NO,2020-02-22 06:42:25,71.04,27.85,29.01,81,100,24.38,overcast clouds,0.0,0.0
231,Acajutla,SV,2020-02-22 06:42:25,13.59,-89.83,83.32,64,43,11.59,scattered clouds,0.0,0.0
