City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Yantal,RU,2020-02-18 04:50:50,56.85,105.25,17.08,85,96,2.53
215,Khor,RU,2020-02-18 04:50:50,47.89,134.95,10.33,92,76,6.29
216,Matara,LK,2020-02-18 04:50:50,5.95,80.54,88.48,45,0,6.96
217,Hasaki,JP,2020-02-18 04:50:50,35.73,140.83,55.0,29,20,13.87
218,Sarkand,KZ,2020-02-18 04:50:50,45.41,79.92,27.59,90,100,3.91
219,Dudinka,RU,2020-02-18 04:50:51,69.41,86.18,14.0,85,40,31.32
220,Paamiut,GL,2020-02-18 04:50:51,61.99,-49.67,9.95,56,100,5.84
221,Ipora,BR,2020-02-18 04:50:51,-16.44,-51.12,71.04,93,93,1.79
222,Kenai,US,2020-02-18 04:50:51,60.55,-151.26,35.6,80,90,3.36
223,Pokhara,NP,2020-02-18 04:50:52,28.23,83.98,75.11,43,0,3.58
224,Moberly,US,2020-02-18 04:50:04,39.42,-92.44,48.99,70,40,13.87
225,Lakes Entrance,AU,2020-02-18 04:50:52,-37.88,147.98,72.0,93,66,1.01
226,Bembereke,BJ,2020-02-18 04:50:52,10.23,2.66,63.93,18,0,1.39
227,Bardiyah,LY,2020-02-18 04:50:53,31.76,25.09,57.76,67,14,9.6
228,Nizhniy Tsasuchey,RU,2020-02-18 04:50:53,50.52,115.13,20.98,63,0,9.73
229,Vostok,RU,2020-02-18 04:50:53,46.49,135.88,14.41,91,100,5.66
230,Zharkent,KZ,2020-02-18 04:50:53,44.16,80.0,28.63,79,95,3.96
231,Dryden,CA,2020-02-18 04:50:51,49.78,-92.75,12.2,85,90,3.36
232,Mandera,KE,2020-02-18 04:50:54,3.94,41.87,83.5,52,0,9.66
233,Vardo,NO,2020-02-18 04:50:54,70.37,31.11,32.0,75,75,18.34
234,Bambanglipuro,ID,2020-02-18 04:50:54,-7.95,110.28,85.66,66,8,11.56
